id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1062775867625765163,Private Queen Bedroom in Boston,474189195,1470138253325996213,Patrice,,Dorchester,42.30239,-71.06824,Private room,,91,1,2024-12-14,0.08,4,242,0,
1063177709955666892,The Mayhew Redline ~ Bedroom #3 | 3BR 1B w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32108,-71.06167,Private room,,30,0,,,56,323,0,
1063677148275439417,NEW ! Boston Full Home Near MBTA ! 3 Mi To Fenway!,41266357,1462687125860403075,Frank,,Roxbury,42.32044,-71.07531,Entire home/apt,,1,13,2025-11-10,0.55,4,317,6,STR-414833
1064061905284167356,4 Rooms in Boston. Private Baths,98499569,1467184447280836404,Tolu,,Dorchester,42.2968,-71.08925,Entire home/apt,,2,50,2025-11-10,2.28,1,152,23,STR-548616
1064492156489125506,"Chic & Sunny Boston Condo – WFH, Pool, Parking + T",697401,1462526512255198719,Nick,,Brighton,42.34367345364903,-71.14692059629517,Entire home/apt,,91,4,2025-04-22,0.20,4,214,2,
1065091533031359082,Charming Studio in Historic Brownstone,409684302,1469870389347785678,Justin And Mandy,,South End,42.342867898639774,-71.07932804133542,Entire home/apt,,1,1,2025-12-12,1,14,361,1,STR-457097
1065344249090143744,Cozy 2BR in victorian brownstone,29329872,1465432016617518319,Cesar,,Roxbury,42.32428,-71.07963,Entire home/apt,,20,5,2025-09-30,0.27,1,90,2,STR-560804
1066129472960154468,Private Beautiful Large Sunny Large Room #1,15189962,1462956368692730698,Claire,,Brighton,42.35028935587033,-71.17393338414931,Private room,,3,17,2025-09-06,0.79,4,113,1,STR-593447
1066567991412914854,4-bed / 2-bath Modern Condo Minutes from Downtown,5424940,1462680523457841668,Delanda,,Roxbury,42.31794,-71.0785,Entire home/apt,,1,60,2025-12-01,2.74,2,349,29,STR-519523
1066879803257359794,Cozy Room 15 Minutes to BOS Airport,554717444,1466723001104437471,Anderson,,East Boston,42.375558476816586,-71.03573253428006,Private room,,1,238,2025-12-21,10.50,1,67,101,STR-548656
1066893757764857133,Private Charming Room by Oak Square #3,15189962,1462956368692730698,Claire,,Brighton,42.35025,-71.17402,Private room,,3,28,2025-01-03,1.20,4,158,2,STR-593447
1067563969205970886,Renovated Boston Brownstone,209024699,1463159647297821045,Jane,,Charlestown,42.37750854892392,-71.06135727463014,Entire home/apt,,7,0,,,2,263,0,STR-542726
1068954730793312640,"Fenway Cultural, 2 bed 2 bath Near Hospital",163848078,1463027460596198880,Adam,,Longwood Medical Area,42.34020616071716,-71.1066155102937,Entire home/apt,,3,31,2025-12-05,1.45,35,260,17,STR-466119
1068959354784291874,25A1 | The Alameda 1 | 2BR 1B w/AC & W/D | Private,71783,1462508362719740106,Swank Properties Boston,,West Roxbury,42.2919472,-71.1540823,Entire home/apt,,30,1,2025-08-29,0.25,56,239,1,
1069620401519520274,(J2) Guest's favorite! Beautiful Direct Access !,430053852,1470512703190615862,Boston,,Back Bay,42.35252,-71.07614,Entire home/apt,,1,98,2025-12-18,4.24,6,152,42,STR-571577
1069761491047844142,Historic Mayor’s Mansion #1,144866724,1468424920385595906,Carolyn,,Beacon Hill,42.358874,-71.07106379999999,Private room,,1,145,2025-12-08,6.61,2,185,80,str-548979
1070298141105686622,The Grand View ~ Rose Bedroom | 5BR 2B w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.314873629657555,-71.06099776279504,Private room,,30,0,,,56,283,0,
1070363403449818807,"Two-Bed, Two-Bath Apartment In the Fenway District",22541573,1463182329140437053,Furnished Quarters,,Fenway,42.34424145853508,-71.09827697614229,Entire home/apt,,32,0,,,54,353,0,
1070535798282431991,Luxury 2BR 2BA apt Fenway Boston Near Hospital,163848078,1463027460596198880,Adam,,Longwood Medical Area,42.34173,-71.10686,Entire home/apt,,4,11,2025-12-02,0.55,35,280,9,STR-473524
